Score,Text
5,Fuck billionaires
5,Billionaires exploit the working class
5,"I’m a socialist, billionaires are fucking awful"
5,I hate all billionaires
5,I hate them
5,They’re awful
5,Eat the rich
5,"Fuck them, redistribute their wealth"
4,I don’t like them
5,Capitalism is awful
5,I’m a communist
3,What?
3,What is a billionaire?
3,I don’t understand the question
2,I don’t care
2,Who cares
2,They’re fine
2,They’re ok
1,They’re great
1,They’re good
1,I want to be a billionaire when I’m older
1,Billionaires produce wealth
1,Billionaires are a net good
1,They innovate
1,They make the world a better place
1,Capitalism is great and billionaires are too
1,I love them
1,"They’re cool, I like Elon Musk in particular"
1,They’re smart and they deserve it
1,"They work hard for their money, and we shouldn’t take it from them"
5,I hate billionaires
5,Billionaires disgust me
5,Billionaires are all bad people
5,Billionaires are dreadful people
5,Billionaires are awful people
5,Billionaires are not good people
5,Billionaires are bad people
5,Billionaires don’t deserve rights
5,Billionaires don’t deserve human rights
5,I hate billionaires so much
5,I hate billionaires so goddamn much
5,Billionaires piss me off
5,Billionaires really annoy me
5,Billionaires annoy me
5,I don’t think billionaires should exist
5,There is no reason for billionaires to exist
5,There is no reason for anyone to have so much money
5,There is no reason for anyone to have over a billion dollars
5,"Billionaires suck, there’s no reason for them to have so much money"
5,"Billionaires suck, there’s no reason for them to have so much money.  They’re never going to be able to spend it anyway"
5,"Billionaires suck, there’s no reason for them to have so much money.  They’re never going to be able to spend it anyway, and they exploited it from the people"
5,Every dollar a billionaire has is a dollar stolen from the working class
5,Billionaires are the enemies of the working class
5,Billionaires exploit the working class
5,Billionaires spend money on stupid shit whilst people are starving
5,There is no reason for anyone to have so much money when others are starving
5,We should take billionaires’ money away
5,Eat the rich
5,I hate the rich
5,I hate the 1%
5,Fuck the 1%
5,Fuck the rich
5,Fuck billionaires
5,"Eat the rich (especially Elon Musk, he pisses me off)"
5,Eat the rich (Bill Gates is a bad person too)
1,Billionaires are great
1,Billionaires are fantastic
,I love billionaires
1,Billionaires are so good
1,Billionaires innovate and help people
1,Billionaires spend their money well
1,Billionaires are better than the government
1,Billionaires help people more than the government does
1,Billionaires do more good than the government could
1,Billionaires deserve to keep their money
1,Billionaires deserve their money
1,Billionaires deserve the wealth they have
1,Billionaires deserve their wealth
1,They deserve their money
1,They deserve it
1,They worked hard for it
1,"They do so much good, we shouldn’t take their money away"
1,Yeah billionaires are fine
1,Billionaires are good
5,Billionaires are inherently bad
5,Billionaires are inherently bad people
5,God I hate capitalism and I fucking hate billionaires
5,I fucking despise them
5,I hate them so much
5,They don’t deserve human rights
5,They’re going to be the first to go in the revolution
5,I fucking hate billionaires and I fucking hate capitalism
5,They are the embodiment of capitalism and I hate them
5,They’re just awful
5,They’re just awful people
5,Billionaires are awful people.  No matter how much money they have they need more
5,"There’s no reason for them to have so much money, they could never spend even half of it"
5,Why the fuck do they need so much money? 
5,"They do awful things, and for what? To see a fucking number go up on a screen?"
5,Billionaires fuck the planet
5,Billionaires are responsible for the fucking death of the planet
5,Billionaires would kill their family for fucking profit
5,"It is impossible to work hard enough to become a billionaire, all their money is from exploitation"
5,Billionaires suck
5,They suck
5,They’re fucking awful people
1,They’re great
1,Tbf a lot are self made
1,"To be fair, a lot are self made"
5,Billionaires exploit poor people
5,Billionaires exploit poverty
5,Billionaires exploit poor people and their poverty
5,They are villains
5,They exploit poor people
5,They exploit the poor
5,They exploit poverty
1,They're pretty dope and a lot better than most people make them out to be. There are some shit ones but that applies to any group
1,They’re pretty dope
1,They’re dope
